planet_name,host_star_name,habitability_score
Gl 686 b,Gl 686,0.9998
K2-72 e,K2-72,0.9996
K2-72 c,K2-72,0.9996
Kepler-367 c,Kepler-367,0.9996
Kapteyn c,Kapteyn,0.9995
Gl 725 A b,Gl 725 A,0.9995
Ross 128 b,Ross 128,0.9994
Kepler-504 b,Kepler-504,0.9993
TOI-771 c,TOI-771,0.9992
GJ 685 b,GJ 685,0.9991
Kepler-395 c,Kepler-395,0.9991
GJ 3341 b,GJ 3341,0.9991
L 363-38 b,L 363-38,0.9989
Ross 508 b,Ross 508,0.9988
Kepler-138 e,Kepler-138,0.9988
GJ 27.1 b,GJ 27.1,0.9988
GJ 1132 c,GJ 1132,0.9988
GJ 15 A b,GJ 15 A,0.9986
Kepler-1651 b,Kepler-1651,0.9985
HIP 12961 b,HIP 12961,0.9985
